event_id,chapter_name,event_date,state,city,products_distributed,carrying_capacity,volunteers_present,estimated_beneficiaries,product_type,event_duration_hours,notes
E0077,Denver Metro,2023-01-01,CO,Arvada,316,350,9,125,pads_only,3.5,Holiday giving surge
E0136,Miami South,2023-01-03,FL,Boca Raton,448,450,14,163,mixed,3.5,Holiday giving surge
E0221,New York Metro,2023-01-07,NY,Manhattan,550,550,11,253,tampons_cups,4.5,Expanded coverage area
E0119,Portland West,2023-01-18,OR,Hillsboro,378,400,13,166,mixed,4.5,Focus on reusable products
E0001,Bay Area Chapter,2023-01-26,CA,Palo Alto,487,500,15,208,tampons_cups,4.5,Focus on reusable products
E0222,New York Metro,2023-01-27,NY,Staten Island,465,550,12,206,pads_only,4.0,Summer program
E0095,Chicago South,2023-01-28,IL,Oak Park,445,500,14,215,tampons_cups,3.0,Repeat location
E0002,Bay Area Chapter,2023-01-28,CA,San Jose,471,500,16,180,pads_tampons,3.0,Expanded coverage area
E0223,New York Metro,2023-01-30,NY,Brooklyn,535,550,11,251,mixed,3.0,Holiday giving surge
E0096,Chicago South,2023-01-30,IL,Evanston,418,500,13,204,tampons_cups,3.5,New volunteers joined
E0151,Atlanta Metro,2023-01-30,GA,Alpharetta,387,425,12,150,pads_only,3.5,High turnout despite weather
E0003,Bay Area Chapter,2023-01-31,CA,San Francisco,491,500,12,226,pads_only,3.5,Partnership with local school
E0224,New York Metro,2023-02-01,NY,Manhattan,473,551,11,200,tampons_cups,4.0,Summer program
E0004,Bay Area Chapter,2023-02-02,CA,Palo Alto,500,500,13,218,pads_only,3.0,Focus on reusable products
E0137,Miami South,2023-02-03,FL,Fort Lauderdale,397,451,15,169,mixed,3.5,Peak performance
E0167,Philadelphia East,2023-02-06,PA,Philadelphia,350,380,9,134,tampons_cups,3.5,Collaborative event with another org
E0066,Phoenix Valley,2023-02-09,AZ,Scottsdale,284,300,6,112,tampons_cups,3.0,Focus on reusable products
E0152,Atlanta Metro,2023-02-22,GA,Sandy Springs,389,425,12,187,mixed,4.0,Record attendance
E0207,Dallas Fort Worth,2023-03-04,TX,Arlington,506,530,11,227,mixed,3.5,Earth Day event
E0168,Philadelphia East,2023-03-12,PA,Allentown,408,419,13,173,mixed,3.0,Wealthy area outreach
E0052,Seattle North,2023-03-12,WA,Redmond,446,496,12,160,mixed,4.5,High turnout despite weather
E0225,New York Metro,2023-03-13,NY,Brooklyn,556,607,16,250,mixed,4.0,Suburban outreach
E0138,Miami South,2023-03-14,FL,Miami,449,497,11,168,mixed,4.0,Exceeded capacity
E0208,Dallas Fort Worth,2023-03-17,TX,Arlington,506,530,16,219,mixed,4.0,Spring drive success
E0038,Boston Metro,2023-03-19,MA,Boston,320,385,7,126,mixed,3.0,Partnership with local school
E0209,Dallas Fort Worth,2023-03-24,TX,Dallas,506,530,14,203,mixed,4.5,Repeat location
E0005,Bay Area Chapter,2023-03-31,CA,San Francisco,516,551,17,199,mixed,3.0,Underserved community focus
E0120,Portland West,2023-04-06,OR,Beaverton,409,441,11,187,mixed,4.0,Expanded coverage area
E0006,Bay Area Chapter,2023-04-06,CA,Palo Alto,517,552,14,211,mixed,3.0,Wealthy area outreach
E0181,Minneapolis North,2023-04-10,MN,Minneapolis,357,397,12,158,tampons_cups,3.0,Back to school prep
E0007,Bay Area Chapter,2023-04-15,CA,San Francisco,552,552,17,224,mixed,4.0,First event of semester
E0024,Austin Central,2023-04-19,TX,Cedar Park,383,442,13,140,mixed,4.5,Nearly at capacity
E0067,Phoenix Valley,2023-04-21,AZ,Scottsdale,290,332,12,104,pads_only,3.0,Peak performance
E0210,Dallas Fort Worth,2023-04-21,TX,Irving,531,531,16,206,pads_tampons,4.5,Consistent demand
E0008,Bay Area Chapter,2023-04-25,CA,Oakland,545,552,16,208,mixed,3.5,Repeat location
E0153,Atlanta Metro,2023-05-05,GA,Marietta,407,470,14,169,mixed,3.5,University partnership
E0097,Chicago South,2023-05-11,IL,Evanston,512,554,14,225,tampons_cups,4.0,Collaborative event with another org
E0154,Atlanta Metro,2023-05-15,GA,Sandy Springs,428,470,14,183,tampons_cups,4.0,College campus event
E0053,Seattle North,2023-05-16,WA,Seattle,441,498,15,196,mixed,4.5,Wealthy area outreach
E0193,San Diego South,2023-05-19,CA,San Diego,427,464,9,171,pads_only,4.0,Winter weather challenges
E0182,Minneapolis North,2023-05-21,MN,Bloomington,328,397,9,158,pads_only,3.5,New location tested
E0009,Bay Area Chapter,2023-05-23,CA,Berkeley,512,553,11,230,mixed,4.0,Exceeded capacity
E0039,Boston Metro,2023-05-24,MA,Brookline,333,386,13,156,tampons_cups,3.5,New volunteers joined
E0226,New York Metro,2023-05-26,NY,Staten Island,605,609,16,271,mixed,3.0,Nearly at capacity
E0227,New York Metro,2023-05-27,NY,Staten Island,574,609,17,281,tampons_cups,4.0,First event of semester
E0211,Dallas Fort Worth,2023-06-01,TX,Irving,417,436,9,183,tampons_cups,4.0,Strong volunteer turnout
E0025,Austin Central,2023-06-06,TX,Round Rock,331,363,7,120,pads_only,3.0,First event of semester
E0194,San Diego South,2023-06-08,CA,Chula Vista,322,380,9,136,pads_tampons,3.5,Record attendance
E0054,Seattle North,2023-06-11,WA,Redmond,387,408,9,184,mixed,4.0,Community center venue
E0026,Austin Central,2023-06-15,TX,Georgetown,343,363,8,124,mixed,4.5,First-time beneficiaries
E0098,Chicago South,2023-06-19,IL,Naperville,419,455,15,190,mixed,4.0,High turnout despite weather
E0027,Austin Central,2023-07-02,TX,Georgetown,321,364,7,122,pads_tampons,4.5,Earth Day event
E0228,New York Metro,2023-07-04,NY,Queens,443,500,10,197,pads_tampons,3.5,Collaborative event with another org
E0229,New York Metro,2023-07-05,NY,Manhattan,452,500,12,199,mixed,4.0,New location tested
E0040,Boston Metro,2023-07-07,MA,Brookline,296,315,11,108,pads_tampons,4.0,High turnout despite weather
E0041,Boston Metro,2023-07-14,MA,Somerville,304,315,8,110,tampons_cups,4.0,Strong volunteer turnout
E0183,Minneapolis North,2023-07-14,MN,Bloomington,265,325,9,122,mixed,3.5,University partnership
E0042,Boston Metro,2023-07-16,MA,Cambridge,295,315,10,116,tampons_cups,4.5,New volunteers joined
E0010,Bay Area Chapter,2023-07-23,CA,San Francisco,442,453,11,203,pads_only,4.0,Summer program
E0028,Austin Central,2023-07-23,TX,Georgetown,348,364,8,143,mixed,4.0,New volunteers joined
E0068,Phoenix Valley,2023-07-24,AZ,Scottsdale,254,274,8,99,mixed,4.0,High turnout despite weather
E0155,Atlanta Metro,2023-07-28,GA,Alpharetta,353,387,10,166,pads_tampons,4.5,University partnership
